Año,Trimestre,Provincia,Accesos por cada 100 hogares,Banda ancha fija,Dial up,Total,HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,OTROS
2022,1,Formosa,34.96,54548,0,54548,970,4480,24113,6945,6613,7160,15028,5880
2022,1,Jujuy,58.06,116509,0,116509,580,1761,22141,16321,37923,5760,35287,2442
2022,1,La Pampa,91.66,109560,172,109732,3010,2223,62812,9869,12044,525,14400,2833
2022,1,La Rioja,78.77,84299,4,84303,180,7780,3576,4692,23624,5645,45970,0
2022,1,Mendoza,48.74,274399,786,275185,1140,3355,51230,26407,74178,21566,95048,3287
2022,1,Misiones,49.04,171508,0,171508,510,3873,35655,22261,26855,15854,58610,8349
2022,1,Neuquén,74.17,149208,471,149679,1370,1123,39856,15623,11163,2654,71238,7885
2022,1,Río Negro,67.04,156821,553,157374,1160,1383,35565,18859,26926,14144,37729,22652
2022,1,Salta,56.11,197510,5,197515,1140,1725,35576,68246,6313,2214,76838,6489
2022,1,San Juan,43.55,87888,290,88178,260,2269,32356,11914,25144,2088,11916,2465
2022,1,San Luis,80.72,119659,185,119844,610,6430,8287,3837,9802,68612,13,28589
2022,1,Santa Cruz,43.34,48898,204,49102,510,6898,12710,11502,12277,2628,2551,4850
2022,1,Santa Fe,77.3,870364,115,870479,4680,12435,143796,208361,84787,58018,344170,18444
2022,1,Santiago Del Estero,47.17,116459,2,116461,1780,1401,30220,6117,13542,8490,8309,7920
2022,1,Tierra Del Fuego,98.29,52298,313,52611,240,8940,12849,1564,18034,1767,982,2421
2022,1,Tucumán,57.39,245554,30,245584,390,2212,36028,46961,21014,5211,133846,2730
2021,4,Buenos Aires,75.66,4502772,6385,4509157,37821,11026,352950,331292,297296,196021,3259793,22958
